HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457659.11002,2016-09-27.6096579,bd,1.45,14.591,9.990,0.005,387.450,1.651,V
2457659.11128,2016-09-27.6109206,bd,1.47,14.591,9.990,0.005,387.351,1.639,V
2457659.11253,2016-09-27.6121722,bd,1.43,14.585,9.980,0.004,390.736,1.602,V
2457665.06712,2016-10-03.5661901,bd,2.00,99.990,99.990,99.990,99.990,99.990,V
2457668.05976,2016-10-06.5585445,bd,1.49,14.522,10.159,0.005,331.361,1.630,V
2457668.06103,2016-10-06.5598070,bd,1.50,14.478,10.153,0.005,333.186,1.673,V
2457668.06228,2016-10-06.5610615,bd,1.53,14.479,10.165,0.005,329.508,1.637,V
2457669.98307,2016-10-08.4816708,bd,1.45,14.517,10.170,0.006,328.064,1.807,V
2457669.98432,2016-10-08.4829237,bd,1.52,14.541,10.178,0.005,325.483,1.511,V
2457669.98558,2016-10-08.4841762,bd,1.56,14.529,10.165,0.006,329.455,1.737,V
2457670.98637,2016-10-09.4848778,bd,1.47,14.630,10.163,0.005,330.199,1.429,V
2457670.98763,2016-10-09.4861379,bd,1.57,14.633,10.168,0.005,328.611,1.426,V
2457670.98889,2016-10-09.4873923,bd,1.48,14.627,10.157,0.005,331.950,1.490,V
2457672.01235,2016-10-10.5107614,bd,1.47,14.647,10.153,0.005,333.105,1.572,V
2457672.01362,2016-10-10.5120275,bd,1.57,14.647,10.146,0.005,335.317,1.546,V
2457672.01487,2016-10-10.5132791,bd,1.51,14.642,10.148,0.004,334.730,1.475,V
2457673.97355,2016-10-12.471775,bd,1.48,14.592,10.092,0.005,352.540,1.720,V
2457673.97480,2016-10-12.4730296,bd,1.49,14.589,10.093,0.004,352.087,1.470,V
2457673.97607,2016-10-12.4742928,bd,1.47,14.593,10.090,0.004,353.185,1.551,V
2457675.09427,2016-10-13.5923934,bd,1.63,14.617,10.067,0.005,360.739,1.654,V
2457675.09552,2016-10-13.5936420,bd,1.51,14.619,10.060,0.004,363.104,1.559,V
2457675.09677,2016-10-13.5948949,bd,1.53,14.626,10.071,0.004,359.114,1.517,V
2457675.96502,2016-10-14.4630628,bd,1.63,14.546,10.058,0.005,363.631,1.759,V
2457675.96626,2016-10-14.4643040,bd,1.73,14.519,10.043,0.005,368.580,1.686,V
2457675.96750,2016-10-14.4655439,bd,1.53,14.543,10.052,0.005,365.915,1.705,V
2457678.99058,2016-10-17.4883445,bd,1.48,14.547,10.005,0.005,381.958,1.750,V
2457678.99182,2016-10-17.4895936,bd,1.60,14.545,10.004,0.005,382.096,1.813,V
2457678.99308,2016-10-17.4908450,bd,1.53,14.545,10.014,0.005,378.640,1.686,V
2457685.14080,2016-10-23.6380300,bd,1.64,14.310,10.044,0.006,368.288,2.004,V
